Part Number,Quantity,Description
2750201,10,C1 / C2 / 
2320886,35,C10 / C24 / C18 / C5 / C3 / C11 / C4 / 
2346568,5,C16 / 
2896646,65,C20 / C21 / C22 / C23 / C12 / C15 / C19 / C17 / C13 / C8 / C6 / C14 / C7 / 
2471194,5,D1 / 
2426215,20,D2 / D3 / D6 / D7 / 
2426218,5,D4 / 
2426211,5,D5 / 
2724423,5,Q1 / 
1100159,40,R1 / R2 / R3 / R4 / R28 / R27 / R21 / R11 / 
1100199,10,R5 / R6 / 
1100138,10,R7 / R8 / 
1100192,5,R9 / 
1100218,10,R10 / R17 / 
1100176,30,R12 / R22 / R23 / R24 / R25 / R26 / 
2695161,5,R13 / 
1100246,5,R18 / 
1100183,10,R20 / R19 / 
1100137,25,R29 / R33 / R31 / R32 / R34 / 
1077155,5,U4 / 
2564200,5,U6 / 
