Designator,Mid X,Mid Y,Layer,Rotation
C1,7.175500,12.204700,top,0.000000
C2,10.820400,9.258300,top,180.000000
C3,10.922000,7.505700,top,180.000000
C4,15.621000,0.977900,top,180.000000
C5,16.573500,11.950700,top,0.000000
C6,12.852400,1.816100,top,90.000000
C7,19.583400,0.977900,top,180.000000
D1,20.066000,11.410700,top,90.000000
D2,15.049500,10.363200,top,180.000000
D3,15.049500,8.077200,top,180.000000
D4,15.049500,9.220200,top,180.000000
R1,12.128500,11.887200,top,270.000000
R2,12.128500,13.919200,top,270.000000
R3,4.699000,12.331700,top,0.000000
R4,13.766800,4.508500,top,90.000000
R5,11.049000,11.874500,top,270.000000
R6,9.194800,11.874500,top,270.000000
R7,13.766800,6.464300,top,270.000000
R8,20.548600,5.283200,top,180.000000
R9,7.747000,5.029200,top,0.000000
R10,13.208000,11.887200,top,270.000000
R11,14.376400,12.153900,top,90.000000
R12,17.272000,10.363200,top,180.000000
R13,17.272000,8.077200,top,180.000000
R14,17.272000,9.220200,top,180.000000
R15,10.287000,2.654300,top,270.000000
R16,2.667000,10.299700,top,0.000000
R17,2.667000,8.267700,top,0.000000
R18,2.667000,6.235700,top,0.000000
R19,2.667000,4.203700,top,0.000000
R20,2.667000,2.171700,top,0.000000
R21,4.191000,2.679700,top,90.000000
R22,2.667000,12.331700,top,0.000000
R23,2.667000,14.363700,top,0.000000
R24,8.255000,2.654300,top,90.000000
R25,6.223000,2.654300,top,90.000000
U1,6.223000,8.140700,top,0.000000
U2,17.008000,4.574700,top,180.000000
U3,10.972800,5.194300,top,0.000000
