Artikelnr.,Ordercode,RoHS-compatibel?,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
1,1759451,YES,,700,MC1206F225Z250CT,MULTICOMP,"MULTICOMP  SMD Multilayer Ceramic Capacitor, 1206 [3216 Metric], 2.2 µF, 25 V, +80%, -20%, Y5V, MC Series",4458,€ 0.0450,€ 31.50,
2,2395785,Y-EX,,900,VJ1206Y104KXBAT,VISHAY,"VISHAY  SMD Multilayer Ceramic Capacitor, 1206 [3216 Metric], 0.1 µF, 100 V, ± 10%, X7R, VJ Series",3150,€ 0.0920,€ 82.80,
3,2750201,YES,,50,B41858C7477M000,EPCOS,"EPCOS  Electrolytic Capacitor, 470 µF, 35 V, B41858 Series, ± 20%, Radial Leaded, 10 mm",5446,€ 0.4450,€ 22.25,
4,2346568,YES,,50,16PX220MEFC6.3X11,RUBYCON,"RUBYCON  Electrolytic Capacitor, Miniature, 220 µF, 16 V, PX Series, ± 20%, Radial Leaded, 6.3 mm",1459,€ 0.1100,€ 5.50,
5,9406549,YES,,100,MCU1206R103KCT,MULTICOMP,"MULTICOMP  SMD Multilayer Ceramic Capacitor, 1206 [3216 Metric], 0.01 µF, 50 V, ± 10%, X7R, MCU Series",13891,€ 0.0359,€ 3.59,
6,1581232,YES,,50,MCL-S250GC,MULTICOMP,"MULTICOMP  LED, Green, SMD, 1.6mm x 2.3mm, 20 mA, 2.1 V, 570 nm",111219,€ 0.1700,€ 8.50,
7,1581231,YES,,50,MCL-S250YC,MULTICOMP,"MULTICOMP  LED, Yellow, SMD, 1.6mm x 2mm, 20 mA, 2.1 V, 590 nm",9847,€ 0.1900,€ 9.50,
8,1581229,YES,,50,MCL-S250SRC,MULTICOMP,"MULTICOMP  LED, Red, SMD, 1.6mm x 2mm, 20 mA, 1.85 V, 643 nm",52460,€ 0.1200,€ 6.00,
9,1581233,YES,,100,MCL-S250SBLC,MULTICOMP,"MULTICOMP  LED, Blue, SMD, 1.6mm x 2mm, 20 mA, 3.4 V, 472 nm",24820,€ 0.3840,€ 38.40,
10,2677464,YES,,250,1N4148W,TAIWAN SEMICONDUCTOR,"TAIWAN SEMICONDUCTOR  Small Signal Diode, Single, 75 V, 150 mA, 1 V, 4 ns, 400 mA",620,€ 0.0276,€ 6.90,
11,9350268,YES,,50,MF-SM250-2,BOURNS,"BOURNS  PPTC Resettable Fuse, SMD, MF-SM Series, 2.5 A, 5 A, 15 V, -40 °C",1169,€ 0.3490,€ 17.45,
12,1653053,Y-EX,,650,CRCW120610R0FKEB,VISHAY,"VISHAY  SMD Chip Resistor, 10 ohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",17994,€ 0.0137,€ 8.91,
13,1470014,Y-EX,,300,CRCW12064K75FKEA,VISHAY,"VISHAY  SMD Chip Resistor, 4.75 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",56950,€ 0.0370,€ 11.10,
14,2616760,YES,,150,CRCW1206100RJNEA,VISHAY,"VISHAY  SMD Chip Resistor, 100 ohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",8719,€ 0.0284,€ 4.26,
15,2139646,Y-EX,,100,CRCW1206402KFKEA.,VISHAY,"VISHAY  SMD Chip Resistor, 402 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",3667,€ 0.0180,€ 1.80,
16,2139553,Y-EX,,50,CRCW120639K0FKEA.,VISHAY,"VISHAY  SMD Chip Resistor, 39 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",48744,€ 0.0526,€ 2.63,
17,1107432,YES,,50,WSK2512R0250FEA,VISHAY,"VISHAY  SMD Current Sense Resistor, Power Metal Strip®, 0.025 ohm, WSK Series, 2512 [6432 Metric], 1 W",2754,€ 0.7520,€ 37.60,
18,1470015,Y-EX,,50,CRCW12064K99FKEA,VISHAY,"VISHAY  SMD Chip Resistor, 4.99 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",25313,€ 0.0286,€ 1.43,
19,1469985,Y-EX,,50,CRCW12062K00FKEA,VISHAY,"VISHAY  SMD Chip Resistor, 2 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",28042,€ 0.0283,€ 1.42,
20,2139776,Y-EX,,50,CRCW12065M11FKEA.,VISHAY,"VISHAY  SMD Chip Resistor, 5.11 Mohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",2585,€ 0.0230,€ 1.15,
21,1653122,Y-EX,,50,CRCW12063K30FKEA,VISHAY,"VISHAY  SMD Chip Resistor, 3.3 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",1072,€ 0.0699,€ 3.50,
22,2139391,Y-EX,,100,CRCW1206301RFKEA.,VISHAY,"VISHAY  SMD Chip Resistor, 301 ohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",12355,€ 0.0345,€ 3.45,
23,1470008,Y-EX,,50,CRCW1206330RFKEA,VISHAY,"VISHAY  SMD Chip Resistor, 330 ohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",9187,€ 0.0699,€ 3.50,
24,2139367,Y-EX,,100,CRCW1206162RFKEA.,VISHAY,"VISHAY  SMD Chip Resistor, 162 ohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",28,€ 0.0345,€ 3.45,
25,1653077,Y-EX,,100,CRCW12061K00JNEA,VISHAY,"VISHAY  SMD Chip Resistor, 1 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",70,€ 0.0218,€ 2.18,
26,1469975,Y-EX,,50,CRCW1206100KFKEA,VISHAY,"VISHAY  SMD Chip Resistor, 100 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",11278,€ 0.0526,€ 2.63,
27,1469970,Y-EX,,100,CRCW120610K0FKEA,VISHAY,"VISHAY  SMD Chip Resistor, 10 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",6540,€ 0.0333,€ 3.33,
28,1467755,YES,,200,ST485EBDR,STMICROELECTRONICS,"STMICROELECTRONICS  Transceiver RS422/RS485 Driver, 4.75V-5.25V Supply, SOIC-8",607,€ 0.4700,€ 94.00,
29,2854542,YES,,50,LM78M05CDTX/NOPB,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  LDO, FIXED, 5V, 0.5A, TO-252-3",2500,€ 0.7170,€ 35.85,
30,2764750,YES,,100,INA326EA/2K5,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Instrument Amplifier, 1 Amplifier, 20 µV, 1 kHz, 2.7V to 5.5V, MSOP",3893,€ 2.8100,€ 281.00,
31,2696647,YES,,50,PIC16F18854-I/SO,MICROCHIP,"MICROCHIP  8 Bit Microcontroller, PIC16 Family PIC16F18xx Series Microcontrollers, 32 MHz, 7 KB, 512 Byte",290,€ 0.8940,€ 44.70,
32,1234684,YES,,50,REF3025AIDBZTG4,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Voltage Reference, Precision, Low Power, Series - Fixed, REF3025 Series, 2.5V, SOT-23-3",1215,€ 1.0200,€ 51.00,
33,1469236,YES,,50,LM35DZ/NOPB,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Temperature Sensor IC, Voltage, ± 0.4°C, +2 °C, +100 °C, TO-92, 3 Pins",32022,€ 1.0200,€ 51.00,
34,3418327,YES,,10,826629-6,AMP - TE CONNECTIVITY,"AMP - TE CONNECTIVITY  Wire-To-Board Connector, 2.54 mm, 6 Contacts, Header, AMPMODU MOD II Series, Through Hole, 1 Rows",9559,€ 0.3430,€ 3.43,
35,2727944,YES,,50,BVSS123LT1G,ON SEMICONDUCTOR,"ON SEMICONDUCTOR  MOSFET Transistor, N Channel, 170 mA, 100 V, 6 ohm, 10 V, 2.6 V",802,€ 0.0499,€ 2.50,
,,,,,,,,,,,
,,,,,,,Subtotaal,€ 888.19,,,
,,,,,,,Totaal aantal goederen,€ 888.19,,,
,,,,,,,Levering,€ 0.00,,,
,,,,,,,BTW,€ 186.52,,,
,,,,,,,Totaal,"€ 1,074.70",,,
