Source:,C:\Localdata\GIT_REPO\Miscellaneous\KiCad\TrackAmplifier\TrackAmplifier.sch,,,,,,,,,,
Date:,15-5-2018 12:21,,,,,,,,,,
Tool:,Eeschema (5.0.0-rc2-dev-444-g2974a2c10),,,,,,,,,,
Generator:,C:\Localdata\GIT_REPO\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,106,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Farnell,Manufacturer nr,,,
,,C1,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C2,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C3,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C4,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C5,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/1901289.pdf?_ga=2.182791910.1588585681.1526323724-1626853455.1515011571,1759451,MC1206F225Z250CT,,,
,,C6,470u,Device:CP,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,http://www.farnell.com/datasheets/2280829.pdf?_ga=2.252145225.1588585681.1526323724-1626853455.1515011571,2750201,,,,
,,C7,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/2049140.pdf?_ga=2.261496907.792852979.1526285019-1651149783.1519657816,2395785,VJ1206Y104KXBAT,,,
,,C8,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C9,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C10,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/2049140.pdf?_ga=2.50946415.792852979.1526285019-1651149783.1519657816,2395785,VJ1206Y104KXBAT,,,
,,C11,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C12,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C13,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/1901289.pdf?_ga=2.182791910.1588585681.1526323724-1626853455.1515011571,1759451,MC1206F225Z250CT,,,
,,C14,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C15,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C16,220u,Device:CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,http://www.farnell.com/datasheets/2321433.pdf?_ga=2.88550747.1588585681.1526323724-1626853455.1515011571,2346568,16PX220MEFC6.3X11,,,
,,C17,10n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/1723231.pdf?_ga=2.151530105.1588585681.1526323724-1626853455.1515011571,9406549,MCU1206R103KCT,,,
,,C18,10n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,http://www.farnell.com/datasheets/1723231.pdf?_ga=2.151530105.1588585681.1526323724-1626853455.1515011571,9406549,MCU1206R103KCT,,,
,,C19,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C20,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C21,np,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C22,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C23,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C24,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C25,np,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C26,2.2u,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C27,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
,,C28,100n,TrackAmplifier-rescue:C,Capacitor_SMD:C_1206_3216Metric,,,,,,
