Part Number,Quantity,Description
2320886,750,C5 / C13 / C1 / C2 / C12 / C11 / C26 / C8 / C19 / C23 / C32 / C34 / C36 / C38 / C39 / 
2750201,50,C6 / 
2896646,900,C7 / C10 / C3 / C4 / C15 / C14 / C27 / C9 / C31 / C30 / C20 / C22 / C24 / C28 / C29 / C33 / C35 / C37 / 
2346568,50,C16 / 
9406549,100,C17 / C18 / 
2426215,150,D1 / D4 / D8 / 
2426218,50,D2 / 
2426211,50,D3 / 
2677464,300,D5 / D6 / D9 / D10 / D14 / D15 / 
2471194,150,D11 / D12 / D7 / 
2426212,50,D16 / 
2834923,50,F1 / 
2724423,50,Q1 / 
2695161,450,R6 / R4 / R7 / R14 / R18 / R25 / R17 / R40 / R42 / 
1100192,150,R8 / R30 / R39 / 
1100138,300,R12 / R19 / R5 / R3 / R34 / R37 / 
1100234,100,R13 / R15 / 
1100206,100,R16 / R38 / 
1100226,100,R21 / R20 / 
1100137,300,R22 / R11 / R10 / R9 / R2 / R1 / 
1100164,50,R23 / 
1100204,50,R24 / 
1100176,350,R26 / R27 / R28 / R29 / R35 / R43 / R46 / 
1100246,50,R31 / 
1100218,100,R32 / R36 / 
1100183,150,R33 / R44 / R45 / 
1100156,50,R41 / 
1077155,50,U3 / 
2065857,50,U7 / 
2842970,50,U8 / 
2564200,50,U9 / 
9758500,50,U10 / 
1439484,50,U11 / 
