Part Number,Quantity,Description
2320886,7,C12 / C18 / C1 / C2 / C3 / C8 / C9 / 
2896646,8,C13 / C20 / C4 / C7 / C5 / C6 / C10 / C11 / 
2896606,4,C14 / C15 / C16 / C17 / 
2346568,1,C19 / 
2426215,3,D1 / D4 / D5 / 
2426218,1,D2 / 
2426211,1,D3 / 
2724423,1,Q1 / 
1100192,3,R4 / R7 / R9 / 
1100159,2,R8 / R27 / 
1100137,6,R13 / R1 / R2 / R3 / R10 / R11 / 
1100176,5,R14 / R15 / R16 / R17 / R18 / 
2695161,6,R21 / R19 / R20 / R26 / R5 / R12 / 
1100246,1,R22 / 
1100218,2,R23 / R6 / 
1100183,2,R24 / R25 / 
2564200,1,U6 / 
