[31-12-2023 16:01:57:749 > FiddleYardSimulator.cs > Start() > line 128] ### Fiddle Yard Simulator started ###
[31-12-2023 16:01:57:782 > FiddleYardSimulator.cs > Start() > line 147] FYSim created 12 FYSimTrains.
[31-12-2023 16:01:57:783 > FiddleYardSimulator.cs > Start() > line 150] FYSim Simulator Reset()
[31-12-2023 16:01:57:783 > FiddleYardSimulator.cs > Start() > line 152] FYSim Simulator UpdateSimArrayToAppArray()
[31-12-2023 16:01:57:784 > FiddleYardSimulator.cs > Start() > line 161] FYSim Simulator Timer started: aTimer.Interval = 10
[31-12-2023 16:01:57:784 > FiddleYardSimulator.cs > Start() > line 162] FYSim State_Machine = State.Idle from Start()
[31-12-2023 16:02:58:270 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:02:58:366 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:477 > FiddleYardSimulator.cs > SimulatorUpdate() > line 237] FYSim State_Machine = State.MIP50xClearxError
[31-12-2023 16:02:58:549 > FiddleYardSimulator.cs > SimulatorUpdate() > line 409] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:688 > FiddleYardSimulator.cs > SimulatorUpdate() > line 232] FYSim State_Machine = State.MIP50xSetxAcceleration
[31-12-2023 16:02:58:751 > FiddleYardSimulator.cs > SimulatorUpdate() > line 381] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:858 > FiddleYardSimulator.cs > SimulatorUpdate() > line 227] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault
[31-12-2023 16:02:58:922 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:031 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:02:59:094 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:205 > FiddleYardSimulator.cs > SimulatorUpdate() > line 222] FYSim State_Machine = State.MIP50xHomexAxis
[31-12-2023 16:02:59:269 > FiddleYardSimulator.cs > SimulatorUpdate() > line 327] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:393 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:02:59:457 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:620 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:02:59:992 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:00:195 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:03:00:286 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:03:00:376 > FiddleYardSimulator.cs > SimulatorUpdate() > line 217] FYSim State_Machine = State.MIP50xAbs_Pos
[31-12-2023 16:03:00:399 > FiddleYardSimulator.cs > SimulatorUpdate() > line 284] FYSim State_Machine = State.FiddleMultipleMove
[31-12-2023 16:03:01:421 > FiddleYardSimulator.cs > SimulatorUpdate() > line 294] FYSim true == FYMove.FiddleMultipleMove(kicksimulator)
[31-12-2023 16:03:01:422 > FiddleYardSimulator.cs > SimulatorUpdate() > line 296] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault from State.FiddleMultipleMove
[31-12-2023 16:03:01:507 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
[31-12-2023 16:03:01:609 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:03:01:673 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:03:01:738 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:02:212 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:02:634 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:03:109 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:05:779 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:06:235 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:06:441 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:03:06:503 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:03:06:610 > FiddleYardSimulator.cs > SimulatorUpdate() > line 217] FYSim State_Machine = State.MIP50xAbs_Pos
[31-12-2023 16:03:06:626 > FiddleYardSimulator.cs > SimulatorUpdate() > line 284] FYSim State_Machine = State.FiddleMultipleMove
[31-12-2023 16:03:07:114 > FiddleYardSimulator.cs > SimulatorUpdate() > line 294] FYSim true == FYMove.FiddleMultipleMove(kicksimulator)
[31-12-2023 16:03:07:115 > FiddleYardSimulator.cs > SimulatorUpdate() > line 296] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault from State.FiddleMultipleMove
[31-12-2023 16:03:07:188 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
[31-12-2023 16:03:07:234 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:03:07:300 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:03:07:347 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:07:845 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:09:349 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:09:813 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:12:485 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:12:956 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:13:125 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:03:13:189 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
