[31-12-2023 16:01:57:661 > FiddleYardSimulator.cs > Start() > line 128] ### Fiddle Yard Simulator started ###
[31-12-2023 16:01:57:693 > FiddleYardSimulator.cs > Start() > line 147] FYSim created 12 FYSimTrains.
[31-12-2023 16:01:57:694 > FiddleYardSimulator.cs > Start() > line 150] FYSim Simulator Reset()
[31-12-2023 16:01:57:695 > FiddleYardSimulator.cs > Start() > line 152] FYSim Simulator UpdateSimArrayToAppArray()
[31-12-2023 16:01:57:695 > FiddleYardSimulator.cs > Start() > line 161] FYSim Simulator Timer started: aTimer.Interval = 10
[31-12-2023 16:01:57:696 > FiddleYardSimulator.cs > Start() > line 162] FYSim State_Machine = State.Idle from Start()
[31-12-2023 16:02:57:562 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:02:57:640 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:02:57:749 > FiddleYardSimulator.cs > SimulatorUpdate() > line 237] FYSim State_Machine = State.MIP50xClearxError
[31-12-2023 16:02:57:813 > FiddleYardSimulator.cs > SimulatorUpdate() > line 409] FYSim State_Machine = State.Idle
[31-12-2023 16:02:57:938 > FiddleYardSimulator.cs > SimulatorUpdate() > line 232] FYSim State_Machine = State.MIP50xSetxAcceleration
[31-12-2023 16:02:58:001 > FiddleYardSimulator.cs > SimulatorUpdate() > line 381] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:101 > FiddleYardSimulator.cs > SimulatorUpdate() > line 227] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault
[31-12-2023 16:02:58:164 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:283 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:02:58:366 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:477 > FiddleYardSimulator.cs > SimulatorUpdate() > line 222] FYSim State_Machine = State.MIP50xHomexAxis
[31-12-2023 16:02:58:549 > FiddleYardSimulator.cs > SimulatorUpdate() > line 327] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:671 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:02:58:733 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:02:58:914 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:02:59:290 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:485 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:02:59:550 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:02:59:661 > FiddleYardSimulator.cs > SimulatorUpdate() > line 217] FYSim State_Machine = State.MIP50xAbs_Pos
[31-12-2023 16:02:59:671 > FiddleYardSimulator.cs > SimulatorUpdate() > line 284] FYSim State_Machine = State.FiddleMultipleMove
[31-12-2023 16:03:00:657 > FiddleYardSimulator.cs > SimulatorUpdate() > line 294] FYSim true == FYMove.FiddleMultipleMove(kicksimulator)
[31-12-2023 16:03:00:658 > FiddleYardSimulator.cs > SimulatorUpdate() > line 296] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault from State.FiddleMultipleMove
[31-12-2023 16:03:00:766 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
[31-12-2023 16:03:00:806 > FiddleYardSimulator.cs > SimulatorUpdate() > line 247] FYSim State_Machine = State.MIP50xDeactivatexPosxReg
[31-12-2023 16:03:00:883 > FiddleYardSimulator.cs > SimulatorUpdate() > line 463] FYSim State_Machine = State.Idle
[31-12-2023 16:03:00:913 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:01:376 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:01:899 > FiddleYardSimulator.cs > SimulatorUpdate() > line 252] FYSim State_Machine = State.MIP50xReadxPosition
[31-12-2023 16:03:02:393 > FiddleYardSimulator.cs > SimulatorUpdate() > line 522] FYSim State_Machine = State.Idle
[31-12-2023 16:03:02:477 > FiddleYardSimulator.cs > SimulatorUpdate() > line 242] FYSim State_Machine = State.MIP50xActivatexPosxReg
[31-12-2023 16:03:02:537 > FiddleYardSimulator.cs > SimulatorUpdate() > line 436] FYSim State_Machine = State.Idle
[31-12-2023 16:03:02:660 > FiddleYardSimulator.cs > SimulatorUpdate() > line 217] FYSim State_Machine = State.MIP50xAbs_Pos
[31-12-2023 16:03:02:671 > FiddleYardSimulator.cs > SimulatorUpdate() > line 284] FYSim State_Machine = State.FiddleMultipleMove
[31-12-2023 16:03:03:564 > FiddleYardSimulator.cs > SimulatorUpdate() > line 294] FYSim true == FYMove.FiddleMultipleMove(kicksimulator)
[31-12-2023 16:03:03:565 > FiddleYardSimulator.cs > SimulatorUpdate() > line 296] FYSim State_Machine = State.MIP50xSetxPositioningxVelxDefault from State.FiddleMultipleMove
[31-12-2023 16:03:03:630 > FiddleYardSimulator.cs > SimulatorUpdate() > line 354] FYSim State_Machine = State.Idle
