sample,BEMF,kp,plant,error,output_reg,pwm_setpoint,BEMF_setpoint,output_sat
0,482,5,15,30,5,399,512,5
1,501,5,15,11,5,399,512,5
2,502,5,15,10,5,399,512,5
3,506,5,15,6,4,399,512,5
4,505,5,15,7,5,399,512,5
5,509,5,15,3,2,399,512,5
6,512,5,15,-37,-5,394,475,5
7,516,5,15,-41,-5,389,475,5
8,516,5,15,-41,-5,384,475,5
9,514,5,15,-39,-5,379,475,5
10,514,5,15,-39,-5,374,475,5
11,516,5,15,-41,-5,369,475,5
12,516,5,15,-41,-5,364,475,5
13,516,5,15,-41,-5,359,475,5
14,514,5,15,-39,-5,354,475,5
15,514,5,15,-39,-5,349,475,5
16,514,5,15,-39,-5,344,475,5
17,516,5,15,-41,-5,339,475,5
18,516,5,15,-41,-5,334,475,5
19,516,5,15,-41,-5,329,475,5
20,514,5,15,-39,-5,324,475,5
21,514,5,15,-39,-5,319,475,5
22,514,5,15,-39,-5,314,475,5
23,516,5,15,-41,-5,309,475,5
24,516,5,15,-41,-5,304,475,5
25,514,5,15,-39,-5,299,475,5
26,514,5,15,-39,-5,294,475,5
27,514,5,15,-39,-5,289,475,5
28,516,5,15,-41,-5,284,475,5
29,516,5,15,-41,-5,279,475,5
30,516,5,15,-41,-5,274,475,5
31,514,5,15,-39,-5,269,475,5
32,514,5,15,-39,-5,264,475,5
33,514,5,15,-39,-5,259,475,5
34,516,5,15,-41,-5,254,475,5
35,516,5,15,-41,-5,249,475,5
36,516,5,15,-41,-5,244,475,5
37,514,5,15,-39,-5,239,475,5
38,514,5,15,-39,-5,234,475,5
39,515,5,15,-40,-5,229,475,5
40,516,5,15,-41,-5,224,475,5
41,516,5,15,-41,-5,219,475,5
42,515,5,15,-40,-5,214,475,5
43,514,5,15,-39,-5,209,475,5
44,514,5,15,-39,-5,204,475,5
45,516,5,15,-41,-5,200,475,5
46,516,5,15,-41,-5,200,475,5
47,516,5,15,-41,-5,200,475,5
48,514,5,15,-39,-5,200,475,5
49,514,5,15,-39,-5,200,475,5
50,514,5,15,-39,-5,200,475,5
51,516,5,15,-41,-5,200,475,5
52,516,5,15,-41,-5,200,475,5
